frame.number,frame.time_relative,hci_h4.direction,hci_h4.type,bthci_cmd.opcode,bthci_evt.code,bthci_evt.opcode,btatt.opcode,btatt.handle,btatt.value
480,30.053358000,0x00,0x02,,,,0x52,0x001b,3500050a03ca0100
481,30.069448000,0x00,0x02,,,,0x52,0x001b,3500041a020801
482,30.082771000,0x01,0x04,,0x13,,,,
483,30.082956000,0x01,0x02,,,,,,
484,30.083038000,0x01,0x04,,0x13,,,,
485,30.083097000,0x01,0x02,,,,0x1b,0x0017,33007512d908080262d4080a0d44726976656e2044656c7578650a0d5374616469756d204c656164200a0f537769726c696e67204563686f65730a0a4d6574616c20323030300a094242313520536f6c6f0a08486579204a696d690a095477696e205472656d0a0b56696272612044726976650a0a556265
486,30.083151000,0x01,0x04,,0x13,,,,
487,30.172419000,0x01,0x02,,,,,,
488,30.172544000,0x01,0x02,,,,0x1b,0x0017,34007572204d6574616c0a074f63746f626f740a104861726d6f6e6963205669627261746f0a064642453130300a0d4c6176656e646572205261696e0a1041636f7573746963204774722053696d0a0c53746572656f2044656c61790a0b54776565642053756761720a0d57696c64204e6f637475726e65
489,30.217327000,0x01,0x02,,,,,,
490,30.217441000,0x01,0x02,,,,0x1b,0x0017,3400750a0837305320526f636b0a0838305320526f636b0a0839305320526f636b0a094563686f20446f6d650a0642726f6b656e0a0b4272697420436f6c6f75720a0a5375706572204c6976650a0d4669726564205570204c6561640a095965617220323239300a0c426f6f7374656420427269740a0c50
491,30.265041000,0x01,0x02,,,,,,
492,30.265346000,0x01,0x02,,,,0x1b,0x0017,3400756967732043616e20466c790a0b547765656420426c7565730a084272697420506f700a0d436f756e747279205477616e670a065375726679200a095061776e204b696e670a0842423135204c6f770a0842423135204d69640a07424231352048690a084275636b61726f6f0a0a426c756573203139
493,30.307388000,0x01,0x02,,,,,,
494,30.307522000,0x01,0x02,,,,0x1b,0x0017,34007535310a0b446572656b204368616d700a0a506f702043686f7275730a0a4a617a7a20436c65616e0a0a5375706572204275726e0a0d446972747920466c616e6765720a0e4372616e6b6564205072696e63650a085375737461696e640a0c46757a7a792044656c7578650a0853706f6f6e66756c0a
495,30.352507000,0x01,0x02,,,,,,
496,30.352634000,0x01,0x02,,,,0x1b,0x0017,3400750e3635205477696e205265766572620a0d363520446c78205265766572620a0f3635205072696e63205265766572620a083537204368616d700a0a353720446c78204661740a0c426173736d616e20426565660a0b53696c76657220546f6e650a0e427269742053746b20436c65616e0a07444920
497,30.489037000,0x01,0x02,,,,,,
498,30.489170000,0x01,0x02,,,,0x1b,0x0017,34007546756e6b0a0b53756e2053657373696f6e0a073537205477696e0a065068617365640a0d497269736820416e7468656d730a0b53747564696f20507265200a0c416e67727920526f64656e740a0d426c6b20486f6c6520566962650a0c53696e676c652053636f6f700a0b4561726c792045646469
499,30.489258000,0x01,0x02,,,,,,
500,30.489303000,0x01,0x02,,,,0x1b,0x0017,340075650a0d56696e74616765205468726f620a0d4c6f7564204173204c656564730a0c4576696c20426173736d616e0a0f46696c7465726564204563686f65730a0c526f636b20612042696c6c790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074
501,30.532222000,0x01,0x02,,,,,,
502,30.532326000,0x01,0x02,,,,0x1b,0x0017,340075790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d
503,30.576913000,0x01,0x02,,,,0x1b,0x0017,35003f7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a05456d7074790a10456d7074792020202020202020202020
504,30.620963000,0x01,0x02,,,,0x1b,0x0017,35000a120808012a0408082001
